timestamp,latitude,longitude,altitude_km,velocity_kph
2025-11-11T00:31:23+08:00,42.884877734514,50.186937429833,419.46309431744,27599.700131219
2025-11-11T00:31:33+08:00,43.22886308232,50.893297848141,419.54151019332,27599.665219879
2025-11-11T00:31:43+08:00,43.567886116155,51.6080401086,419.6194489137,27599.628373223
2025-11-11T00:31:52+08:00,43.868671387963,52.258534669005,419.68914413722,27599.593609667
2025-11-11T00:32:03+08:00,44.230594125234,53.062952355308,419.7736938057,27599.549130494
2025-11-11T00:32:13+08:00,44.554045778427,53.803238936388,419.84990017568,27599.506861581
2025-11-11T00:32:23+08:00,44.872072685391,54.552148268329,419.92543077664,27599.46291114
2025-11-11T00:32:33+08:00,45.184556770277,55.309725137394,420.00023795852,27599.417340761
2025-11-11T00:32:43+08:00,45.491375033125,56.075997049118,420.07427393399,27599.370211831
2025-11-11T00:32:52+08:00,45.762567963405,56.773099756736,420.14020885517,27599.326512851
2025-11-11T00:33:03+08:00,46.087531975061,57.634728970291,420.21984869078,27599.271517644
2025-11-11T00:33:14+08:00,46.405196228183,58.50693624792,420.2983900211,27599.214852121
2025-11-11T00:33:23+08:00,46.659559593192,59.228427483599,420.36179349583,27599.167300448
2025-11-11T00:33:34+08:00,46.963531535579,60.119849827304,420.43818976052,27599.10779282
2025-11-11T00:33:43+08:00,47.206466768873,60.857022373089,420.49976141566,27599.058017099
2025-11-11T00:33:53+08:00,47.47018708259,61.684330388099,420.56714914757,27599.001614511
2025-11-11T00:34:05+08:00,47.7778564442,62.688465382572,420.6465354043,27598.932481151
2025-11-11T00:34:14+08:00,48.00218903819,63.449637286915,420.70497770978,27598.879644457
2025-11-11T00:34:24+08:00,48.244873345609,64.303425994975,420.76877331195,27598.819995298
2025-11-11T00:34:34+08:00,48.480515997521,65.165585107226,420.83133222392,27598.759403932
2025-11-11T00:34:43+08:00,48.686473088106,65.948601671156,420.88654824718,27598.70410655
2025-11-11T00:34:53+08:00,48.908400709135,66.82636942971,420.94665930017,27598.641859026
2025-11-11T00:35:04+08:00,49.143977235245,67.801184888372,421.01123468595,27598.572460674
2025-11-11T00:35:14+08:00,49.350240031496,68.695641698114,421.06849726322,27598.508579281
2025-11-11T00:35:24+08:00,49.548861650081,69.597802616618,421.12435370506,27598.443988959
2025-11-11T00:35:34+08:00,49.739725504536,70.507480127829,421.17877286133,27598.378733237
2025-11-11T00:35:43+08:00,49.904777725724,71.332458470625,421.22649697677,27598.319468414
2025-11-11T00:35:53+08:00,50.080595998896,72.255875521861,421.27810541462,27598.253061457
2025-11-11T00:36:04+08:00,50.264663420615,73.279600555148,421.33311824952,27598.179382183
2025-11-11T00:36:13+08:00,50.407898941925,74.123187909503,421.37673676754,27598.118640647
2025-11-11T00:36:23+08:00,50.559180065012,75.06659274738,421.42370886144,27598.050700438
2025-11-11T00:36:33+08:00,50.7020827402,76.016132788649,421.46908609625,27597.982321271
2025-11-11T00:36:43+08:00,50.836514647287,76.971524869419,421.512846059,27597.913536437
2025-11-11T00:36:53+08:00,50.962387618196,77.93247133944,421.55496753278,27597.844377776
2025-11-11T00:37:03+08:00,51.079616537473,78.89864881476,421.59543002806,27597.774876505
2025-11-11T00:37:14+08:00,51.19849096639,79.967100494855,421.63800045933,27597.698063603
2025-11-11T00:37:25+08:00,51.306712006761,81.041027519072,421.6785173078,27597.62090813
2025-11-11T00:37:33+08:00,51.378675140426,81.825237869142,421.70668200139,27597.564599456
2025-11-11T00:37:44+08:00,51.468287091665,82.907506730797,421.74360240784,27597.486931631
2025-11-11T00:37:53+08:00,51.533515770192,83.796105220019,421.77224285087,27597.423195289
2025-11-11T00:38:04+08:00,51.603293462358,84.885528544584,421.80531827915,27597.345087489
2025-11-11T00:38:14+08:00,51.657186450777,85.878708980942,421.83353339789,27597.273902596
2025-11-11T00:38:24+08:00,51.701951887974,86.874127021607,421.85997286324,27597.202567961
2025-11-11T00:38:34+08:00,51.737557707765,87.871376711895,421.88462822312,27597.131100097
2025-11-11T00:38:44+08:00,51.763978228323,88.870046792481,421.90749229687,27597.059513943
2025-11-11T00:38:54+08:00,51.781194090905,89.869709798502,421.9285589345,27596.987823733
2025-11-11T00:39:04+08:00,51.789192966373,90.869947385599,421.9478235708,27596.916041257
2025-11-11T00:39:14+08:00,51.787969114319,91.870339523324,421.96528291835,27596.844176726
2025-11-11T00:39:24+08:00,51.777523585389,92.870453659212,421.98093479011,27596.772239635
2025-11-11T00:39:34+08:00,51.75786418812,93.869870122995,421.99477852113,27596.700237031
2025-11-11T00:39:44+08:00,51.729005309026,94.868171285819,422.00681472442,27596.628174375
2025-11-11T00:39:54+08:00,51.690968375753,95.864930755199,422.01704517721,27596.556056418
2025-11-11T00:40:04+08:00,51.643781084726,96.859738684428,422.02547310947,27596.483885461
2025-11-11T00:40:14+08:00,51.587477485274,97.852190863927,422.03210302338,27596.411662229
2025-11-11T00:40:23+08:00,51.529043658231,98.743045138732,422.03653734285,27596.346616678
2025-11-11T00:40:33+08:00,51.455536956905,99.729910479429,422.03976793221,27596.274292137
2025-11-11T00:40:43+08:00,51.373048846274,100.71327859087,422.0412207964,27596.201909393
2025-11-11T00:40:54+08:00,51.272008938704,101.79048680819,422.04077705704,27596.122215728
2025-11-11T00:41:04+08:00,51.170857082013,102.76529228973,422.03852917098,27596.049692986
2025-11-11T00:41:14+08:00,51.060923643336,103.73546386619,422.03453721409,27595.97709185
2025-11-11T00:41:24+08:00,50.942283549667,104.70066564759,422.02881463649,27595.904402188
2025-11-11T00:41:35+08:00,50.801818798813,105.75626140744,422.02053849834,27595.824327449
2025-11-11T00:41:44+08:00,50.679208919587,106.61487041311,422.01223766935,27595.758710062
2025-11-11T00:41:54+08:00,50.53494960295,107.56325767819,422.00141646534,27595.685680687
2025-11-11T00:42:04+08:00,50.382331853022,108.5054561561,421.98893087179,27595.612508109
2025-11-11T00:42:15+08:00,50.204916617293,109.53439673235,421.97329794239,27595.531832901
2025-11-11T00:42:25+08:00,50.035070787143,110.46272919814,421.95738264983,27595.458302545
2025-11-11T00:42:34+08:00,49.875328921075,111.29227365932,421.94169053411,27595.391953522
2025-11-11T00:42:44+08:00,49.690293896518,112.2071604481,421.92275600355,27595.31802247
2025-11-11T00:42:53+08:00,49.517060331101,113.02425144467,421.90438533904,27595.251276935
2025-11-11T00:43:04+08:00,49.296832051997,114.0145951892,421.88024972019,27595.169405083
2025-11-11T00:43:15+08:00,49.067401749789,114.99555709535,421.85429677522,27595.08717833
2025-11-11T00:43:25+08:00,48.850973778828,115.87902723848,421.82915714595,27595.012087911
